article,level,text,label,word_count,predicted_label,predicted_level,correct,length_group
WNL India's rich,Intermediate,"According to a recent report, the wealthiest people in India will become four times richer by 2018, with hundreds of thousands of new entrepreneurs and inheritors becoming multimillionaires. The survey, based on interviews with 150 wealthy individuals, comes at a time when there are signs of returning business confidence in the world’s biggest democracy. Recent years have seen weak economic growth, rising prices of basic foods and a fall in the value of the Indian currency. But the Bharatiya Janata Party (BJP) won a landslide victory in May 2014 with its promise to improve the economy. Despite the economic slowdown, there are now nearly a sixth more Indians worth more than $3.75m than in 2013, the report says. “Cities are mushrooming, the middle class population growing, opportunities have increased many times over and the political environment has improved greatly in recent months,” says Murali Balaraman, a co-author. Between them, India’s rich hold assets worth a trillion dollars, which is around a fifth of the total wealth in the country. By 2018, that total is likely to reach $4tn, the report says, making three times as many people multimillionaires. A booming luxury market is serving the new rich. “They really want to show or talk about their wealth in a really subtle way and buying luxury goods is a nice way to do it,” Balaraman said. Abhay Gupta, the CEO of brand consultancy Luxury Connect, said the market for luxury goods and experiences would “only get bigger”. “There is a huge aspirational class who look up to what the very wealthy are doing and then copy it,” he said. Cars are among the most popular items bought, the report says. Whereas, in 2009, locally made SUVs were shown off by the wealthy, now only foreign cars will impress people. Mercedes saw a 47% growth in sales in India in 2013. BMW has launched a new $200,000 model in Delhi. India’s appalling infrastructure limits demand for luxury cars, however. Lamborghini’s Chief Executive, Stephan Winkelmann, admitted, in 2013, that the traffic and roads in India “are not so suitable” for the $450,000 sports cars. In India, Lamborghini sells two models: the Gallardo and the Aventador, which has a top speed of 217mph. Winkelmann said Lamborghini’s Indian customers were much younger than those in Europe, with a typical buyer being in his 30s. However, the most popular investments are still real estate – mainly within India – and jewellery. India’s super-rich have often surprised people around the world with their spectacular spending. Mukesh Ambani, the country’s wealthiest man, has built the world’s most valuable home in Mumbai, the commercial capital. The 27-storey tower, complete with helicopter pads, indoor cinemas and a staff of more than 600, is worth $1bn. The three-day wedding of the niece of Lakshmi Mittal, the UK-based steel tycoon who is worth $16bn, was reported to have cost $80m. Hundreds of guests were flown to Barcelona for the ceremony and party, which took place in a museum in the city. But buyers of exclusive luxury goods are becoming more and more demanding, the report says. One buyer ordered nine cases of Japanese whisky costing over $750 a bottle for a wedding reception. The attraction of the imported whisky was that no one who attended the wedding would know how to find the same drink in India. Another big spender bought identical pairs of Louis Vuitton bags, then cut up half of them to make clothes that would match her accessories. Even the traditional wedding is changing. Traditionally, presents such as silver plates, dried fruit or sweets are sent with wedding invitations. But, now, these presents are being replaced by gifts by top western designer brands. “These days, it’s Rolex watches and Louis Vuitton bags,” says Gupta. Almost half the new multimillionaires live in smaller cities and a high proportion give large amounts to charity. Co-author Balaraman says that growth in the number of rich people would not result in social tensions because a wide gap in incomes and wealth is an “accepted norm” in India. “People know that someone is rich and someone is poor and they carry on with their lives,” he explains.",1,693,2,Advanced,False,Long
WNL JMW Turner,Intermediate,"JMW Turner, one of Britain’s greatest painters, will appear on the new £20 note, after a nationwide vote. It will be the first time an artist has appeared on a British banknote, after the governor of the Bank of England, Mark Carney, asked the public to choose a deceased cultural figure they felt deserved to be on the banknote. Turner, who is famous for his dramatic seascapes, beat off competition from 590 painters, sculptors, fashion designers, photographers, film-makers and actors put forward by 30,000 members of the public. The list included Alfred Hitchcock, Alexander McQueen, Derek Jarman, Laura Ashley, William Morris and Vanessa Bell. This list was narrowed down to a final choice of five by a panel of artists, critics and historians. The final five – Barbara Hepworth, Charlie Chaplin, Josiah Wedgwood, William Hogarth and Turner – were chosen because of their “unquestioned” contribution to both the visual arts and British society, as well as their enduring influence. The announcement of the new banknote was made at the Turner Contemporary gallery in Margate. The announcement was made jointly by Carney and the artist Tracey Emin, who grew up in the town. Carney said it had been “so important to get this right and have a proper process that involved the public.” He added that banknotes are not only a practical necessity – they “can be a piece of art in everyone’s pocket”. “The fact that we will have Turner on the £20 note shows that the British people are a nation of people who appreciate creativity and appreciate the arts,” said Emin. The note will show Turner’s 1799 self-portrait, as well as one of his most famous works, The Fighting Temeraire, the ship that played an important role in Nelson’s victory at the Battle of Trafalgar in 1805. The note will also contain a quote from the artist – “light is therefore colour” – as well as his signature. The signature is from his will, in which he left many of his paintings to the nation. Historical figures were first shown on banknotes in 1970. Turner joins Winston Churchill and Jane Austen as the significant figures who will feature on the new polymer notes – a plastic-type material – Churchill on the £5 and Austen on the £10 note. The new £20 note will be available by 2020. Turner was born in 1775 in London, the son of a barber, and he entered the Royal Academy Schools at the age of 14. In 1786, when he was sent to Margate, his love of painting and drawing the north-east Kent coast began. He returned to that coast throughout his life and it was where he painted some of his most dramatic oils and watercolours. He described its skies as “the loveliest in all Europe”. Turner was a very prolific artist – he produced more than 550 oil paintings and 2,000 watercolours in his lifetime. His life was also the subject of a film, in 2014, by Mike Leigh, with Timothy Spall as the artist. Victoria Pomery, the director of Turner Contemporary, said: “The decision to celebrate JMW Turner, one of the greatest technical pioneers in the history of British art, is extraordinary. It has proven that Turner is the nation’s favourite artist.”",1,542,2,Advanced,False,Short
WNL Kiruna,Intermediate,"Cities don’t often decide to pack their bags, get up and move down the road. But that’s exactly what Kiruna, an Arctic town in northern Sweden, has to do – to avoid being swallowed up into the earth. “It’s a terrible choice,” says Krister Lindstedt of White, the Swedish architects company that is managing the biblical task. They have to move this city of 23,000 people away from a gigantic iron-ore mine that is fast swallowing up the ground beneath its streets. “Either the mine must stop digging, creating mass unemployment, or the city has to move.” Founded in 1900 by the state-owned Luossavaara-Kiirunavaara mining company (LK), Kiruna has grown rich off the vast amount of iron ore that is below the town but it’s now facing destruction by exactly the thing that made it rich. “The town is here because of the mine,” says Deputy Mayor Niklas Siren. “Otherwise, no one would have built a city here.” Located 145km inside the Arctic Circle, Kiruna has a brutal climate. It has winters with no sunlight and average temperatures below -15C. But the iron ore has kept people here. It has become the world’s largest underground iron-ore mine. It produces 90% of all the iron in Europe, enough to build more than six Eiffel Towers a day. And demand continues to grow. In 2004, the mining company told the town that its days were numbered: digging its shafts towards the city at an angle of 60 degrees, subsidence would soon lead to buildings cracking and collapsing. Ten years later, cracks are starting to appear in the ground, and they are creeping closer and closer to the town. “The people of Kiruna have been living in limbo for ten years,” says Viktoria Walldin, a social anthropologist who works with the architects. “They have put their lives on hold, unable to make major decisions like buying a house, redecorating, having a child or opening a business.” After years of dithering, the city finally has a plan for how it will proceed. Lindstedt has a plan that shows the town’s streets and squares beginning to crawl eastwards along a new high street, until the whole place has moved safely away from the mine by 2033. A new town square is already being built, 3km to the east, with a circular town hall planned by Danish architect Henning Larsen. Twenty other key buildings will be dismantled and put together piece by piece in their new home – like an Ikea flatpack on a bigger scale. Kiruna’s red wooden church, built in 1912 and once voted Sweden’s most beautiful building, will take pride of place in a new park, and the bell tower will stand once again above the town hall. But not everything will be saved. “I spoke to an old lady who walks past the bench every day where she had her first kiss,” says Walldin. “It’s things like that – the hospital where your first child was born, for example – that are important to people and all that’s going to disappear.” Called “the most democratic move in history”, the project will get £320m from the mining company for building new facilities, including a high school, fire station, community centre, library and swimming hall. But the biggest worry for most people is where they will actually live and how they will get a house or flat. “People are used to very low rents and very high incomes but, in future, this will have to change” says Lindstedt. LK has agreed to compensate residents to the value of their homes plus 25% but many locals say this is not enough to afford a new-build house. A closer look at the plan shows the new town does not look like the original Kiruna at all. The current town has winding streets and detached houses with gardens. White’s plan has multi-storey apartment blocks around shared courtyards in long straight streets. It is an opportunity, say the architects, for Kiruna to “reinvent itself” into a town that will attract young people. There will be new cultural facilities and “visionary” things such as a cable car above the high street. But it is a vision that many of the existing residents will probably not be able to afford.",1,710,2,Advanced,False,Long
WNL Making a killing,Intermediate,"James Bond films are one of the world’s longest running and most successful film series, with 23 movies and more than $6bn earned at box offices around the world. But James Bond shows no signs of slowing down. In fact, Bond is more popular than ever, after the record-breaking performance of Skyfall, which became the biggest ever film at the UK box office in 2012, earning a total of $1.1bn. For this reason, there was a lot of interest surrounding the announcement of a few more details about the 24th Bond film – especially its official title, Spectre. The number one question is: can Spectre repeat Skyfall’s success? Charles Gant, film editor for Heat magazine, says it is heading in the right direction. “Skyfall was a brilliant strategic move,” he says. “It was simultaneously modern and retro. It appealed to fans of Daniel Craig and it also engaged the older, more nostalgic Bond fans, who may have lost interest over the previous few films. With the new title,” he adds, “it is certain to be a success.” It seems that Eon Productions, the company originally founded in 1961 to make Dr No and that is behind all the “official” Bonds, is doing all it can to ensure another success – they are installing the key creative talent behind Skyfall on Spectre. Daniel Craig will play Bond at least until film 25 and the same writers have produced the script. But it’s getting Sam Mendes as director again that gives Bond fans the most hope. A director mainly known for character studies such as American Beauty and Revolutionary Road, Mendes has taken the Bond series to new heights. Gant says: “Mendes managed to engage with both the modern and the traditional Bond audience, and he also attracted top actors like Ralph Fiennes. Actors like Fiennes will only agree to be in a film if they like the director.” Though the Bond series was not in trouble before Mendes’s arrival – and Craig’s – there was a certain amount of staleness towards the end of Pierce Brosnan’s time as Bond. The series had survived the drying up of original Bond stories to adapt, and the movies were no longer anything like the Ian Fleming originals, but they were lacking dynamism. This cycle, however, was nothing new: the history of the Bond series has been one of ebb and flow, revolving most obviously around the lead actor: first, Sean Connery; then, successively, George Lazenby, Roger Moore, Timothy Dalton, Brosnan and, now, Craig. Each new Bond has been a response to the state of the series, and some have been more successful than others. Lazenby only lasted a single film and Dalton’s two efforts, The Living Daylights and Licence to Kill, were during a period in the late 80s when the 007 movie was eclipsed by more aggressive, slick Hollywood action movies. According to Gant, “the period of Roger Moore’s last films, and the Dalton period, didn’t really excite audiences. Brosnan was more successful commercially, but Craig has taken Bond to new levels. On the other hand, the early Bonds were incredibly commercial films, sexy and exciting, and there was very little like them.” Skyfall made more money than all the other Bond films. However, the performance of some of the 1960s films was almost as brilliant by comparison. If you adjust the figures for inflation, the 1965 release, Thunderball, is only just below Skyfall, while Goldfinger and You Only Live Twice both did better than the other Craig films (and the 70s Bonds, The Spy Who Loved Me and Live and Let Die, did better, too). By this calculation, Licence to Kill is the worst-performing of all Bonds, with Moore’s final film, A View to a Kill, the second least successful. Nevertheless, the Bond brand has remained very powerful over the years and Eon has had to fight off attempts by rival companies to capitalize on the popularity of the series. Through a quirk of rights ownership, adaptations of Casino Royale (in 1967) and Thunderball (as Never Say Never Again, in 1983) were released in competition with Eon productions. After legal disputes that continued for many years, Eon now has full control of both books. Martin Campbell was another experienced British director and he was able to plan one of the most elaborate stunts in Bond history. In the famous opening scene of Goldeneye (released in 1995), Bond freefalls into a pilotless light aeroplane. This scene really helped modernize the series and increase its popularity. Moreover, a whole new generation was reached through a hugely successful Goldeneye video-game spin-off, which made a significant contribution to perceptions that the Bond film was no longer stale and old-fashioned.",1,783,2,Advanced,False,Long
WNL Mirrors,Intermediate,"A mirror that sends heat into cold space has been designed by scientists to replace air-conditioning units that keep buildings cool on Earth. Researchers believe the mirror could slash the amount of energy used to control air temperatures in business premises and shopping centres because they wonÕt need to use cooling systems. Around 15% of the energy used by buildings in the USgoesonairconditioningbuttheresearchersÕ say that, in some cases, the mirror could completely offset the need for extra cooling. In a rooftop comparison in Stanford, California, scientists found that a roof that had been painted black reached 60C more than the air temperature in sunlight and aluminium reached 40C more. However, the mirror was up to 5C cooler than the surrounding air temperature. ÒIf you cover signi cant parts of the roof with this mirror, you can see how much power it can save. You can signi cantly offset the electricity used for air conditioning,Ó said Shanhui Fan, an expert in the study of light at Stanford University, who led the development of the mirror. ÒIn some situations, you will be able to completely offset the air conditioning.Ó Buildings warm up in a number of different ways. Hot-water boilers and cooking areas release heat into their immediate surroundings. In hot countries, warm air comes in through doors and windows. Then, there is visible light and infrared radiation from the sun, which also heat up buildings. The Stanford mirror was designed to re ect 97% of the visible light that falls on it. But, more importantly, it works as a thermal radiator. When the mirror is warmed up, it releases heat at a speci c wavelength of infrared light that passes easily through the atmosphere and out into space. To make anything cool, you need what engineers call a heat sink: somewhere to put unwanted heat. The heat sink has to be cooler than the object that needs cooling or it will not do its job. For example, a bucket of ice will cool a bottle of wine because it becomes a sink for heat in the liquid. The Stanford mirror relies on the best heat sink: the universe itself. The mirror is built from several layers of very thin materials. The rst layer is re ective silver. On top of this are layers of silicon dioxide and hafnium oxide. These layers turn the mirror into a thermal radiator. When silicon dioxide heats up, it radiates the heat as infrared light at a wavelength of around ten micrometres and the heat passes straight out to space. The total thickness of the mirror is around two micrometres or two thousandths of a millimetre. ÒThe cold darkness of the universe can be used as a renewable thermodynamic resource, even during the hottest hours of the day,Ó the scientists write in Nature. In tests, the mirror had a cooling power of 40 watts per square metre at outside temperatures. Writinginthejournal,Fansaysthatthecostofthe mirrors is between $20 and $70 per square metre. He calculates an annual electricity saving of 100MWh on a three-storey building. Fan said that the mirror could cool buildings but he said that the mirrors would not slow down global warming. ÒRoof space is only a small portion of the EarthÕs surface so the mirror is not a solution to the problem of global warming. But our mirror will help limit greenhouse gas emissions by reducing electricity consumption,Ó he said. ÒIÕm really excited by the potential it has,Ó said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology. ÒYou could use this on buildings and spend much less money on air conditioning or maybe you wouldnÕt need it at all. You could put it on top of shopping malls.Ó ÒIÕm really excited by the potential it has,Ó said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology. ÒYou could use this on buildings and spend much less money on air conditioning or maybe you wouldnÕt need it at all. You could put it on top of shopping malls.Ó ÒIÕm really excited by the potential it has,Ó said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology. ÒYou could use this on buildings and spend much less money on air conditioning or maybe you wouldnÕt need it at all. You could put it on top of shopping malls.Ó",1,715,2,Advanced,False,Long
WNL Novel way,Intermediate,"Governments across Europe dream of nding a magic solution to rising unemployment. But, in the hardest-hit parts of the EU, unemployment continues to rise and the talk does little to reduce the number of people without work. Now, in a corner of Italy, one mayor thinks he has found an answer to his townÕs serious lack of work. Valter Piscedda, the mayor of Elmas, a small town near SardiniaÕs capital, Cagliari, wants to pay residents to leave. The council will pay for ten unemployed locals to take intensive English lessons, get on a cheap ight and look for jobs elsewhere in Europe. ÒThis idea is a result of common sense and experience,Ó the mayor told the Guardian. ÒOver the past year and a half Ð especially in the past few months Ð I have been seeing young people, almost every day, who are despairing about their search for work. Some ask for help in nding it here. Others have tried everything and are so discouraged that they no longer want to stay and wait. And they want to go and gain work experience abroad; life experience, too. ÒSo, my idea was this: put everything in place so that those who want to gain experience abroad are able to,Ó he said. As the national economy continues to falter, Sardinia, along with much of southern and central Italy, is struggling with high unemployment. Unemployment was at 17.7% in the second quarter of 2014, according to ItalyÕs National Institute of Statistics, Istat. More than 54% of people under 25 are out of work. For the Adesso Parto (Now IÕm leaving) programme, ElmasÕs council will give Û12,000 on a rst-come, rst-served basis to applicants aged between 18 and 50. They just have to be out of work and have lived in the town for three years. They do not have to be university educated and their annual income must be no more than Û15,000. The idea of encouraging people to leave is sensitive at a time when huge numbers of Italians Ð many of them bright young graduates Ð are leaving their country every year. But Piscedda, who belongs to the Democratic Party of the Prime Minister, Matteo Renzi, believes that the people he is sending away might return Òand give me back 100 times what they were givenÓ. More importantly, he wants the scheme to help those most in need. ÒItÕs a programme for those with no other resource; itÕs the last-chance saloon. It will allow them the dignity of not having to ask a friend for money or put burdens on families,Ó he said. Earlier in 2014, he added, the council launched a scheme for businesses Ð they were given nancial incentives to hire young workers from Elmas. ÒWe advertised 20 of these positions,Ó he said. ÒWe got 120 applications.Ó In Elmas, the scheme has got mixed reactions. ÒThe reality is that there is little work here,Ó said Alessandro Macis. ÒThe opportunity to go abroad to learn about the workplace and experience other cultures can be very worthwhile. The son of a friend of mine who didnÕt study much is in London and heÕs really nding his way. He started as a waiter. Now, heÕs a cook and heÕs learning English.Ó Others were perplexed. I heard about it but I thought it was strange. If you have that money to pay for people to go away, why dont you use that money to keep them here? said Consuelo Melis, who works behind the bar in a local cafe. On Twitter, one of many reactions was disbelief. The states admission of defeat, commented Marco Patavino. Institutions are raising the white ag, remarked Carlo Mazzaggio. Piscedda, however, says of his online critics: ÒProbably, they are people that arenÕt in need ... Every day, I deal with peopleÕs problems and I have to do something to try to solve them. These people, if they had an alternative, they wouldnÕt be asking for help. ÒThe work I can create, as mayor, is temporary. I can have a piazza cleaned. I can have it cleaned again. I can have the streets cleaned. But these are all temporary things that give nothing beyond that little bit of money for a few months. I want to go beyond that.Ó",1,710,0,Elementary,False,Long
WNL On the trail,Intermediate,"Robert Mys_ajek stops. Between two paw prints on a muddy mountain track, the scientist nds what he is looking for. ÒDroppings!ÕÕ he says happily. It is so rare to see a wolf that seeing faeces makes it a good day. But it is getting easier. There are now about 1,500 wolves in Poland. The number has doubled in 15 years. Wolves are Ð along with the brown bear, the lynx and the wolverine Ð EuropeÕs last large predator carnivores. Conservationists from Britain, Germany and the Netherlands are coming here to nd out how the country has saved wolves who are criticized even in fairy tales. Bits of bone and hair stick out from the black faeces. ÒIt ate a red deer,ÕÕ says Mys_ajek, the University of Warsaw biologist. ÒIn my lab, I can tell you all about this wolf Ð not only its diet but its gender, sexual habits, age, state of health and family connections.ÕÕ DNA tests have shown that Polish wolves are travellers. ÒOne wolf reached the Netherlands, where unfortunately it was hit by a car. They have a very big range. They need space. The average territory required by a Polish pack is 250 square kilometres,ÕÕ says Mys_ajek. ÒCan we ever reintroduce wolves to Scotland?ÕÕ asks student Alex Entwisle, 23, on a study trip to southern Poland from the UK. He and other animal science students have spent the day looking for droppings and paw prints in the Beskidy mountains of the Polish Carpathians. Their hot discussion topic is whether to reintroduce wolves to the British Isles for the rst time since the 18th century. Mys_ajek toured the Scottish Highlands in 2015 for the Wolves and Humans Foundation and answered questions from villagers about the Polish experience. ÒThe big difference between Scotland and Poland is that we eat pork. We do not have many sheep here. ÒThe similarity is that we have a lot of animals Ð 300,000 red deer and more than 800,000 roe deer. In Poland, we also have too many wild boar Ð about 200,000 Ð and these are eating and destroying farmersÕ cereal crops. Here, wolves are part of the solution,ÕÕ he says. The scientist says wolves can move up to 30 kilometres during a single hunt. ÒThe Beskidy pack is a strong unit, eight or nine animals. This year, we have recorded ve cubs, two young wolves and two adults. ÒWe track them using motion cameras in the forest and by following their prints in the mud and snow. In each family group, only one pair of adults has cubs each year. All pack members care for the young.ÕÕ Mys_ajek, the son of a shepherd, doesnÕt understand wolvesÕ bad reputation. ÒWhy did we have to have the fairy tale Little Red Riding Hood, with its big bad wolf?Õ He is fascinated by these aloof animals who remained in the wild 33,000 years ago when others decided on a much more comfortable life as domestic dogs. Mys_ajek says only scienti c arguments Ð the need to regenerate forests and control the wild animal population Ð can save EuropeÕs wild carnivores, especially the unpopular wolf. ÒNatural predators balance the ecosystem. They reduce the number of herbivores, which allows trees to grow tall for birds to nest in.ÕÕ The ban on wolf hunting in the western Carpathians became law in 1995 and in the whole of Poland in 1998. There are now wolf packs in nearly all the countryÕs major forests where the wolves coexist with humans. The Polish government pays compensation for farm animals killed by wolves. Mys_ajek advises farmers to put up electric fences. He has helped bring back the use of two deterrents that, for reasons no one understands, wolves nd very scary: strings of small red ags (that you hang around sheep pens) and the Tatra Mountain Sheepdog. PolandÕs wolves have been helped by the countryÕs late infrastructure development. In 1989, when the communists left power, Poland had only one motorway. Major road projects began after Poland joined the European Union in 2004 and they are required to consider wild animals. Attitudes have also changed. ÒFor many years, hunting was cultural. In 1975, there were fewer than 100 wolves in Poland. From the 1950s, hunting wolves was encouraged by the authorities. They paid a reward for killing a wolf worth a monthÕs salary. It was carnage.ÕÕ Mys_ajek says that Polish wolves are much safer now but they are not completely safe. Packs of wolves cross country borders and hunting still happens in neighbouring Russia, Lithuania, Belarus, Ukraine and Slovakia. He says PolandÕs new government, elected in October 2015, doesnÕt like wolves. ÒThe Environment Minister, Jan Szyszko, is a hunter. There are 120,000 licensed hunters in Poland and they have a lot of in uence. ÒBeing a wolf advocate is not easy. You canÕt argue to the politicians that wolves are a big tourist attraction. Most tourists want to see the animals but wolves stay away from humans. They have a very sensitive sense of smell.ÕÕ The 12 British animal science students leave the Polish Carpathians without seeing a wolf. Entwisle does not believe that Scotland will ever be able to match PolandÕs success. ÒIt would be amazing for the environment to have wolves back in Scotland because of the problem of too many deer. But it would just not be possible because of the roads and sheep. ÒThere would be problems with farmers, too. In Britain, we like predators to be far away and to watch them on television,ÕÕ said Entwisle.",1,920,0,Elementary,False,Long
WNL Planet,Intermediate,"According to a new scientific study, temperature rises caused by uncontrolled global warming could be at the high end of current estimates. The scientist who led the research said that, unless emissions of greenhouse gases are reduced, the planet will heat up by a minimum of 4C by 2100. This is twice the level the worldÕs governments consider to be dangerous. The research indicates that fewer clouds form as the planet warms, which means less sunlight is reflected back into space. This forces temperatures up even higher. The way clouds affect global warming has been the biggest mystery in the study of future climate change. Professor Steven Sherwood, at the University of New South Wales in Australia, who led the new work, said that the study broke new ground in two ways. First, it identified what controls the cloud changes and, second, it rejected the lowest estimates of future global warming and favoured the higher and more damaging estimates. Ò4C would be catastrophic rather than simply dangerous,Ó Sherwood said. ÒFor example, it would make life difficult, if not impossible, in much of the tropics and would guarantee the eventual melting of the Greenland ice sheet and some of the Antarctic ice sheetÓ, with sea levels rising by many metres as a result. The research reduces the uncertainty about how much warming is caused by rises in carbon emissions, according to scientists commenting on the study, published in the journal Nature. Experts at JapanÕs National Institute for Environmental Studies said the explanation of how fewer clouds form as the world warms was ÒconvincingÓ and agreed that this indicated future climate change would be greater than expected. Scientists measure the sensitivity of the EarthÕs climate to greenhouse gases by estimating the temperature rise that would be caused by a doubling of CO2 in the atmosphere compared with pre-industrial levels Ð which is likely to happen within 50 years. For two decades, those estimates have run from 1.5C to 5C: wide range. The new research narrowed that range down to between 3C and 5C, by closely examining the biggest cause of uncertainty: clouds. Computer climate models are the only tool researchers have to predict future temperatures and it was important to make sure that the way clouds are formed was represented accurately in those models. When water evaporates from the oceans, the vapour can rise over nine miles to form rain clouds that reflect sunlight; or, it may rise just a few miles and drift back down without forming clouds. In reality, both processes happen and climate models that included the second possibility predicted significantly higher future temperatures than models that only included the nine-mile-high clouds. ÒClimate sceptics like to criticize climate models for getting things wrong and we are the first to admit they are not perfect,Ó said Sherwood. ÒBut what we are finding is that the mistakes are being made by the models that predict less warming, not those that predict more.Ó He added: ÒSceptics may also point to the ÔhiatusÕ of temperatures since the end of the 20th century, but there is increasing evidence that this hiatus is not seen in other measures of the climate system and is almost certainly temporary.Ó Global average air temperatures have increased quite slowly since a high point in 1998, which was caused by the ocean phenomenon El Nin_o. But, observations show that heat is continuing to be trapped in increasing amounts by greenhouse gases, with over 90% disappearing into the oceans. Furthermore, a study in November 2013 suggested the ÒpauseÓ may be mainly an illusion Ð a result of the lack of temperature readings from polar regions, where warming is greatest. Sherwood accepts his teamÕs work on the role of clouds cannot definitely rule out that future temperature rises will be at the lower end of projections. But, for that to be the case, there would need to be some major missing ingredient for which there is currently no evidence. He added that a 4C rise in global average temperatures would have a serious impact on the world and the economies of many countries if emissions were not reduced.",1,686,2,Advanced,False,Long
WNL Shocking,Intermediate,"What surprised researchers was not how hard people found the challenge but how far they would go to avoid it. The task? To sit in a chair and do nothing but think. Some found it so unbearable that they took the safe but alarming opportunity to give themselves mild electric shocks to break the tedium. Two-thirds of men pressed a button that gave them a painful shock during a 15-minute period of solitude. Under the same conditions, a quarter of women pressed the shock button. The difference, scientists suspect, is that men are typically more sensation-seeking than women. The report from psychologists at Virginia and Harvard Universities tries to answer the question of why most of us nd it so hard to do nothing. In more than 11 separate studies, the researchers showed that people hated being left to think, regardless of their age, education, income or the amount of time they spent on smartphones or social media. Timothy Wilson, who led the work, said the ndings were not necessarily due to the pace of modern life or the spread of mobile devices and social media. Instead, those things might be popular because of our constant need to do something rather than nothing. In the rst experiments, students were taken Ð alone, without phones, books or anything to write with Ð into a room and told to think. The only rules were that they had to stay seated and not fall asleep. They were told that they would have six to 15 minutes alone. The students were questioned when the time was up. On average, they did not enjoy the experience. They struggled to concentrate. Their minds wandered even with nothing to distract them. In case the unfamiliar setting reduced the ability to think, the researchers did the experiment again with people at home. They got similar results. In fact, people found the experience even more miserable and cheated by getting up from their chair or checking their phones. To see if the effect was found only in students, the scientists tested more than 100 other people, aged 18 to 77, from a church and a farmersÕ market. They also disliked being left to their thoughts. But, the most surprising result was yet to come. To check whether people might actually prefer something bad to nothing at all, the students were given the option of giving themselves a mild electric shock. They had been asked earlier to say how unpleasant the shocks were, compared to other options, such as looking at pictures of cockroaches or hearing the sound of a knife rubbing against a bottle. All the students chosen for the test said they would pay to avoid mild electric shocks. To the researchersÕ surprise, 12 of 18 men gave themselves up to four electric shocks and six of 24 women did the same. The scientists said that the most surprising thing was that being alone with their thoughts was so hard for many people that they gave themselves an electric shock Ð something the participants had earlier said they would pay to avoid. Jessica Andrews-Hanna at the University of Colorado said many students would probably give themselves an electric shock to cheer up a tedious lecture. But, she says we need to know more about the motivation of the shockers in WilsonÕs study. ÒImagine Ð a person is told to sit in a chair with wires attached to their skin and a button that will deliver a harmless but uncomfortable shock, and they are told to just sit there with their thoughts,Ó she said. ÒAs they sit there, their mind starts to wander and it naturally goes to that shock Ð was it really that bad?Ó",1,617,2,Advanced,False,Short
WNL Six year olds,Intermediate,"They may not know who Steve Jobs was or even how to tie their own shoelaces, but the average six-year-old child understands more about digital technology than a 45-year-old adult, according to a new report. The arrival of broadband in the year 2000 has created a generation of digital natives, Ofcom (which checks standards in the UK communications industries) says in its annual study of British consumers. Born in the new millennium, these children are learning how to operate smartphones or tablets before they are able to talk. ÒThese younger people are shaping communications,Ó said Jane Rumble, who is head of media research at Ofcom. ÒAs a result of growing up in the digital age, they are developing completely different communication habits from older generations, even compared to the 16-to-24 age group.Ó 800 children and 2,000 adults took OfcomÕs Òdigital quotientÓ, or DQ, test, which attempts to gauge awareness of and self-con dence around gadgets from tablets to smart watches, knowledge of superfast internet, 4G mobile- phone networks and mobile apps. Among 6- to 7-year-olds, who have grown up with YouTube, Spotify music streaming and online television, the average DQ score was 98, higher than for those aged between 45 and 49, who scored an average of 96. Digital understanding peaks between 14 and 15 years old, with a DQ of 113, and then drops gradually throughout adulthood, before falling rapidly in old age. People can now test their digital knowledge with a short version of the questionnaire that will give anyone a DQ score, along with advice on how to improve their understanding and protect themselves and their families online. The ways in which millennial children contact each other and consume entertainment are so different from previous generations that forecasters now believe their preferences to be a better indication of the future than the preferences of trendsetting young adults. The most remarkable change is in time spent talking by phone. Two decades ago, teenagers spent their evenings monopolizing the home telephone line, talking about love affairs and friendships in conversations that lasted for hours. For those aged 12 to 15, phone calls account for just 3% of time spent communicating through any device. For all adults, this rises to 20% and, for young adults, it is still three times as high at 9%. TodayÕs children do the majority of their remote socializing by sending written messages or through shared photographs and videos. ÒThe millennium generation is losing its voice,Ó Ofcom claims. Over 90% of their device-time is message based, chatting on social networks like Facebook, sending instant messages through services like WhatsApp or even sending traditional mobile- phone text messages. Just 2% of childrenÕs time using devices is spent emailing, compared to 33% for adults. Away from their phones, 12- to 15-year-olds have a very different relationship with other media, too. A digital seven-day diary shows live television accounts for just half of viewing for this age group, compared to nearly 70% for all adults. They spend 20% of their time viewing short video clips, for example on YouTube, or news clips on Facebook and other social sites. The rest of their viewing is shared between DVDs, streamed content through Net ix or iTunes and recorded television programmes. Young adults aged 16 to 24 are big media consumers. However, they consume hardly any live radio or print-based media. Younger people are also moving away from live television and moving to streaming and catch- up services. Even among adults, television is becoming less important. Television viewing among 16- to 24-year-olds has been dipping each year since 2010, but 2013 was the rst year that researchers found that viewing fell in all age groups. The theory is that easy-to-use tablet computers with large screens have brought many older people online.",1,629,2,Advanced,False,Short
